OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;Volume;Volume_Formule;longueur;largeur;hauteur;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
1;1;;;;;;2022/07/18 08:55:36.000;"{""Ch""}";1;P;246.4;#VALEUR!;56;2.2;2;2;70;5;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
2;1;1;;;;;2022/07/18 09:43:34.000;"{""Ch""}";10;P;86.469;#VALEUR!;11.1;4.1;1.9;2;30;40;30;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
3;1;2;;;;;2022/07/18 10:01:44.000;"{""Ch""}";1;M;4.64;#VALEUR!;5.8;1;0.8;2;60;20;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
4;1;3;;;;;2022/07/18 10:11:20.000;"{""Ch""}";1;M;38.88;#VALEUR!;7.2;3;1.8;1;40;40;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;8806;cp;2016;5;20500
5;1;4;;;;;2022/07/18 10:15:22.000;"{""Ch""}";1;P;9.72;#VALEUR!;10.8;1;0.9;1;80;5;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;8806;cp;2016;5;20500
6;1;5;;;;;2022/07/18 10:27:40.000;"{""Ch""}";5;M;99.22;#VALEUR!;12.1;4.1;2;2;55;35;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;8806;cp;2016;5;21000
7;1;6;;;;;2022/07/18 10:42:39.000;"{""Ch""}";5;M;23.18;#VALEUR!;12.2;1.9;1;1;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;8806;cp;2016;5;21500
8;1;7;;;;;2022/07/18 10:46:38.000;"{""Ch""}";1;P;7.8;#VALEUR!;7.8;1;1;1;80;15;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;8806;cp;2016;5;21500
9;1;8;;;;;2022/07/18 10:50:01.000;"{""Ch""}";1;M;15.4;#VALEUR!;5;2.8;1.1;1;70;10;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;8806;cp;2016;5;21500
10;1;9;;;;;2022/07/18 10:52:48.000;"{""Ch""}";1;M;7.938;#VALEUR!;4.9;1.8;0.9;1;70;25;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;8806;cp;2016;5;21500
11;1;10;;;;;2022/07/18 10:57:04.000;"{""Ch""}";5;M;34.776;#VALEUR!;6.9;2.8;1.8;3;40;50;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
12;1;11;;;;;2022/07/18 10:59:08.000;"{""Ch""}";3;M;17.6;#VALEUR!;8.8;2;1;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
13;1;12;;;;;2022/07/18 11:03:59.000;"{""Ch""}";3;P;8.4;#VALEUR!;10;1.2;0.7;1;75;10;15;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
14;1;13;;;;;2022/07/18 11:07:21.000;"{""Ch""}";3;P;5.2;#VALEUR!;6.5;1;0.8;1;80;10;10;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
15;1;14;;;;;2022/07/18 11:13:46.000;"{""Ch""}";5;M;108.528;#VALEUR!;20.4;2.8;1.9;1;50;30;20;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
16;1;15;;;;;2022/07/18 11:15:45.000;"{""Ch""}";1;M;20.938;#VALEUR!;5.8;1.9;1.9;1;30;70;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
17;1;16;;;;;2022/07/18 11:19:47.000;"{""Ch""}";1;M;4.95;#VALEUR!;5.5;0.9;1;2;20;60;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
18;1;17;;;;;2022/07/18 11:22:17.000;"{""Ch""}";1;D;14.175;#VALEUR!;6.3;1.5;1.5;2;90;10;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
19;1;18;;;;;2022/07/18 11:26:28.000;"{""Ch""}";3;P;2.825;#VALEUR!;11.3;0.5;0.5;1;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
20;1;19;;;;;2022/07/18 11:29:25.000;"{""Ch""}";1;M;5.28;#VALEUR!;8.8;0.5;1.2;1;75;15;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;8806;cp;2016;5;22000
21;1;20;;;;;2022/07/18 11:31:34.000;"{""Pl""}";;M;29.184;#VALEUR!;4.8;3.2;1.9;2;60;30;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
22;1;21;;;;;2022/07/18 11:34:32.000;"{""Ch""}";1;M;22.656;#VALEUR!;5.9;2.4;1.6;2;40;50;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
23;1;22;;;;;2022/07/18 11:37:47.000;"{""Ch""}";1;M;144.18;#VALEUR!;17.8;4.5;1.8;1;60;20;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
24;1;23;;;;;2022/07/18 11:43:25.000;"{""Ch""}";1;P;55.08;#VALEUR!;13.6;2.7;1.5;1;60;35;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
25;1;24;;;;;2022/07/18 11:46:41.000;"{""Ch""}";2;P;248.064;#VALEUR!;20.4;3.8;3.2;1;50;45;5;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
26;1;25;;;;;2022/07/18 11:49:38.000;"{""Ch""}";1;M;12.958;#VALEUR!;3.1;1.9;2.2;1;60;35;5;"{""RG""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
27;1;26;;;;;2022/07/18 11:52:12.000;"{""Bc""}";1;P;14.28;#VALEUR!;10.5;1.7;0.8;1;60;30;10;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
28;1;27;;;;;2022/07/18 11:58:57.000;"{""Bc""}";10;M;360.088;#VALEUR!;20.6;9.2;1.9;1;65;30;5;"{""C""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;8806;cp;2016;5;22500
