OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;longueur;largeur;hauteur;Volume;Volume_Formule;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;hauteur_2;longueur_2;largeur_2;Equipe;Nb_boites;hauteur_3;longueur_3;largeur_3;hauteur_4;longueur_4;largeur_4;hauteur_5;longueur_5;largeur_5;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
1;1;;;;;;2023/07/31 15:20:39.027;"{""Bc""}";1;D;4.8;4.1;0.5;9.84;#VALEUR!;2;80;20;;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
2;1;1;;;;;2023/07/31 15:28:22.230;"{""Bc""}";1;M;13.2;5.3;1;69.96;#VALEUR!;2;30;40;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
3;1;2;;;;;2023/07/31 15:33:03.516;"{""Bc""}";1;D;10.8;2.6;1;28.08;#VALEUR!;2;40;45;15;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
4;1;3;;;;;2023/07/31 15:40:34.115;"{""Bc""}";5;M;12.1;6.5;2;157.3;#VALEUR!;2;45;45;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
5;1;4;;;;;2023/07/31 15:45:36.293;"{""Bc""}";5;M;7.3;2.1;0.5;7.665;#VALEUR!;2;50;30;20;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
6;1;5;;;;;2023/07/31 15:49:06.152;"{""Bc""}";5;D;30;10;0.5;150;#VALEUR!;2;15;60;25;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
7;1;6;;;;;2023/07/31 15:52:35.767;"{""Bc""}";1;M;14.4;3.4;1;48.96;#VALEUR!;2;20;50;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
8;1;7;;;;;2023/07/31 16:05:03.467;"{""Ch""}";1;P;12;2;1;24;24;1;80;10;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
9;1;8;;;;;2023/07/31 16:10:45.305;"{""Ch""}";1;M;14;1;1;14;14;2;50;40;10;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
10;1;9;;;;;2023/07/31 16:14:07.465;"{""Ch""}";5;M;20;10;2;400;400;1;30;40;30;"{""RD""}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;8806;cp;2016;5;30000
