OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur;hauteur;Volume_1;hauteur_2;longueur_2;largeur_2;Volume_2;hauteur_3;longueur_3;largeur_3;Volume_3;hauteur_4;longueur_4;largeur_4;Volume 4;hauteur_5;longueur_5;largeur_5;Volume_5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
1;1;;1;;;DCIM/rivrimouski_20240517104822.jpg;2024/05/17 10:37:22.066;"{""Bc""}";5;P;2;70;15;15;"{""C""}";{c46693cf-f86e-4534-bf7e-3ec5af491f71};Non;13.57125;13,57125;1650;117,5;70;13571250;;;;0;;;;0;;;;0;;;;0;Sam Lucie mathieu;1;Simple;;;;;130;110;100;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
2;1;1;2;;;DCIM/rivrimouski_20240517105918.jpg;2024/05/17 10:37:22.066;"{""Bc""}";10;P;1;90;5;5;"{""C""}";{a40737b3-f590-49af-8eb6-d5082bd5ec75};Non;16.743;16,743;1030;52,5;40;2163000;90;1350;120;14580000;;;;0;;;;0;;;;0;Sam Lucie mathieu;2;Y;Ai confiance Mathieu !;;;;100;10;20;80;;;220;30;90;140;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
3;1;2;3;;;DCIM/rivrimouski_20240517110553.jpg;2024/05/17 10:37:22.066;"{""Bc""}";5;D;1;90;5;5;"{""C""}";{20ff77e0-2ef3-4f0d-9c5b-3f158107c6a6};Non;1.50533333333333;1,505333333;430;43,33333333;40;745333,3333;25;760;40;760000;;;;0;;;;0;;;;0;Sam Lucie mathieu;2;Y;Troisieme embâââxle;;;;30;30;70;;;;10;80;30;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
4;1;3;4;;;;2024/05/17 10:37:22.066;"{""Bc""}";25;M;2;70;15;15;"{""C""}";{9a92222c-1994-470f-a16c-b67192d84ee0};Non;55.3914166666667;55,39141667;1060;67,5;100;7155000;120;2040;82,5;20196000;90;1310;212,5;25053750;50;560;106,6666667;2986666,667;;;;0;Sam Lucie mathieu;4;Y;aow;;Il a plu;;20;40;50;160;;;10;100;70;150;;;40;190;360;260;;;140;90;90;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
5;1;4;5;;;;2024/05/17 10:37:22.066;"{""Bc""}";20;M;2;70;20;10;"{""C""}";{e17558b7-889e-470e-b8ef-5107464e0960};Non;36.0855;36,0855;1530;180;120;33048000;30;750;135;3037500;;;;0;;;;0;;;;0;Sam Lucie mathieu;2;T;Des gars de la place ont des questions;;;;10;210;240;260;;;150;240;15;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
6;1;5;6;;;;2024/05/17 10:37:22.066;"{""Bc""}";35;M;1;70;20;10;"{""C""}";{5449553a-b687-483d-b978-e1e1770c8702};Non;200.0775;200,0775;2060;647,5;150;200077500;;;;0;;;;0;;;;0;;;;0;Sam Lucie mathieu;1;Simple;;;;;1230;430;490;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;8806;cp;2016;5;20000
7;1;6;7;;;;2024/08/24 10:04:48.958;"{""Bc""}";25;M;1;70;10;20;"{""RG""}";{053715c6-3128-4e92-b7cc-b7e3decaf168};Non;1079.6285;1079,6285;2700;242,5;120;78570000;90;1200;267,5;28890000;90;1780;122,5;19624500;170;4120;1360;952544000;;;;0;MC sl lp;4;Discontinu;Soleil ciel bleu;;;;160;320;40;450;;;340;320;240;170;;;230;60;130;70;;;1660;1680;2140;1110;210;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
8;1;7;8;;;;2024/08/24 10:04:48.958;"{""Bc""}";5;M;1;30;50;20;"{""RG""}";{0406292b-9914-4b1e-86ee-9aecda3ffda3};Non;8.50666666666667;8,506666667;880;96,66666667;100;8506666,667;;;;0;;;;0;;;;0;;;;0;MC sl lp;1;Simple;;;;;20;50;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
9;1;8;9;;;;2024/08/24 10:04:48.958;"{""Bc""}";5;M;2;80;15;5;"{""RG""}";{1eb357b7-8ab8-4812-9077-58fa2677b8b8};Non;111.04075;111,04075;1530;207,5;90;28572750;60;350;153,3333333;3220000;120;1040;635;79248000;;;;0;;;;0;MC sl lp;3;Simple;;;;;150;170;250;260;;;130;140;190;;;;460;1330;510;240;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
10;1;9;10;;;DCIM/rivrimouski_20240824110828.jpg;2024/08/24 10:04:48.958;"{""Bc""}";5;M;3;60;40;;"{""RG""}";{4d1ba477-d222-44ba-a8bb-f894faf3fa16};Non;18.5366666666667;18,53666667;670;276,6666667;100;18536666,67;;;;0;;;;0;;;;0;;;;0;MC sl lp;;;;;;;180;270;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;8806;cp;2016;5;10500
