OBJECTID;Join_Count;TARGET_FID;fid_1;fid_12;ID_ebm;photo;date_suivi;position;obstruct_c;prov_bm;densite;comp_tronc;comp_branc;comp_racin;secteur;uuid;Complexe;Volume;Volume_Formule;longueur;largeur boîte 1;hauteur;Volume 1;longueur_2;hauteur_2;largeur boite 2;Volume 2;hauteur_3;longueur_3;largeur boite 3;Volume 3;hauteur_4;longueur_4;largeur boite 4;Volume 4;hauteur_5;longueur_5;largeur boite 5;Volume 5;Equipe;Nb_boites;Typologie;Commentair;Commenta_1;Commenta_2;Commenta_3;largeur_A;largeur_B;largeur_C;largeur_D;largeur_E;largeur_F;largeur_2_;largeur__1;largeur__2;largeur__3;largeur__4;largeur__5;largeur_3_;largeur__6;largeur__7;largeur__8;largeur__9;largeur_10;largeur_4_;largeur_11;largeur_12;largeur_13;largeur_14;largeur_15;largeur_5_;largeur_16;largeur_17;largeur_18;largeur_19;largeur_20;layer;path;Id;Input_FID;Id_1;ORIG_FID;Id_12;lenght;type;annee;troncon;Distance
1;1;;296;;;DCIM/rivrimouski_20250724093544.jpg;2025/07/24 13:30:22.893;"{""Ch""}";1;M;1;70;5;25;"{""RD""}";{95eb828b-0e79-4aeb-ad44-78d0f40a333a};Non;5.17333333333333;5,17;100;323,33;160;5173333,333;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;130;700;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;1;;;;8806;cp;2016;5;1000
2;1;1;297;;;DCIM/rivrimouski_20250724094846.jpg;2025/07/24 13:30:22.893;"{""Ch""}";2;D;2;90;5;5;"{""RD""}";{446a2b41-4d9d-4fea-ad65-4efb9db3c673};Non;18.45;18,45;900;136,67;150;18450000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;60;90;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
3;1;2;298;;;DCIM/rivrimouski_20250724095854.jpg;2025/07/24 13:30:22.893;"{""Ch""}";20;M;2;60;20;20;"{""RD""}";{1bd67f56-f2a6-4378-a8d6-267009a5f76e};Non;334.644;334,64;3530;632,00;150;334644000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;410;540;810;810;590;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
4;1;3;299;;;DCIM/rivrimouski_20250724100701.jpg;2025/07/24 13:30:22.893;"{""Ch""}";25;M;2;50;30;20;"{""C""}";{e73b9480-abc1-4eab-845f-5c82938b8e90};Non;143.312;143,31;1460;320,00;150;70080000;1990;160;230,00;73232000,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;330;280;280;390;;;260;330;290;40;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
5;1;4;300;;;DCIM/rivrimouski_20250724100921.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;P;2;80;13;7;"{""C""}";{f152c3ad-b08b-4959-8fc8-33f701100f20};Non;0.40165;0,40;2770;145,00;1;401650;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;70;210;80;220;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
6;1;5;301;;;DCIM/rivrimouski_20250724101113.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;P;2;50;35;15;"{""C""}";{da454aa4-dbf3-490f-ad59-d67009bb0cfd};Non;36.44775;36,45;1670;242,50;90;36447750;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;120;250;320;280;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
7;1;6;302;;;DCIM/rivrimouski_20250724101417.jpg;2025/07/24 13:30:22.893;"{""Bc""}";2;P;1;85;3;12;"{""C""}";{bb778280-ddbb-410e-bcd3-5caa4cf90915};Non;26.532;26,53;2010;110,00;120;26532000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;120;40;100;180;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
8;1;7;303;;;DCIM/rivrimouski_20250724101832.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;P;1;50;30;20;"{""C""}";{d5ed159e-45f2-4ddc-b4c4-98a71f99e05e};Non;6.93;6,93;1320;87,50;60;6930000;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;80;120;50;100;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
9;1;8;304;;;DCIM/rivrimouski_20250724102206.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;M;2;90;2;8;"{""C""}";{7d6bfe96-e3e4-483e-8af6-9ec5e68606f1};Non;11.4545;11,45;1550;55,00;50;4262500;1160;80;77,50;7192000,00;;;;0;;;;0;;;;0;Sam et julianne;2;T;;;;;10;20;50;140;;;40;40;100;130;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
10;1;9;305;;;DCIM/rivrimouski_20250724102433.jpg;2025/07/24 13:30:22.893;"{""Bc""}";1;P;1;70;5;25;"{""C""}";{36721ed7-9819-4056-a73e-a8bf18ace065};Non;3.8475;3,85;950;45,00;90;3847500;;;;0,00;;;;0;;;;0;;;;0;Sam et julianne;1;Simple;;;;;20;30;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bois_2025;Y:/01_Projet_en_cours/BoisMorts/Bois Mort standardise/EBM P-Cascapedia/Petite_Cascapedia2025/bois/final/Form_repl_MLR_edit_mm1/Bois_2025.shp;;2;;;;8806;cp;2016;5;1500
